lemma,reading,first_char,last_char
カンフル,カンフル,カ,ル
カンペ,カンペ,カ,ヘ
カンボク,カンボク,カ,ク
カンマ,カンマ,カ,マ
カンラン,カンラン,カ,ン
カ月,カゲツ,カ,ツ
カ国,カコク,カ,ク
カ氏,カシ,カ,シ
カ寺,カジ,カ,シ
カ所,カショ,カ,ヨ
カ条,カジョウ,カ,ウ
カ村,カソン,カ,ン
カ店,カテン,カ,ン
カ年,カネン,カ,ン
ガ,ガ,カ,カ
ガーゼ,ガーゼ,カ,セ
ガーター,ガーター,カ,タ
ガーデン,ガーデン,カ,ン
ガード,ガード,カ,ト
ガードマン,ガードマン,カ,ン
ガードレール,ガードレール,カ,ル
ガーネット,ガーネット,カ,ト
ガーベラ,ガーベラ,カ,ラ
ガーリック,ガーリック,カ,ク
ガール,ガール,カ,ル
ガールスカウト,ガールスカウト,カ,ト
ガールフレンド,ガールフレンド,カ,ト
ガイガー計数管,ガイガーケイスウカン,カ,ン
ガイダンス,ガイダンス,カ,ス
ガイチョウ,ガイチョウ,カ,ウ
ガイド,ガイド,カ,ト
ガイドブック,ガイドブック,カ,ク
ガイドライン,ガイドライン,カ,ン
ガウン,ガウン,カ,ン
ガエル,ガエル,カ,ル
ガキ,ガキ,カ,キ
ガク,ガク,カ,ク
ガクガク,ガクガク,カ,ク
ガケっぷち,ガケップチ,カ,チ
ガサガサ,ガサガサ,カ,サ
ガザミ,ガザミ,カ,ミ
ガジマル,ガジマル,カ,ル
ガジュマル,ガジュマル,カ,ル
ガス,ガス,カ,ス
ガスコンロ,ガスコンロ,カ,ロ
ガスタンク,ガスタンク,カ,ク
ガスバーナー,ガスバーナー,カ,ナ
ガスマスク,ガスマスク,カ,ク
ガスレンジ,ガスレンジ,カ,シ
ガソリン,ガソリン,カ,ン
ガソリンエンジン,ガソリンエンジン,カ,ン
ガソリンカー,ガソリンカー,カ,カ
ガソリンスタンド,ガソリンスタンド,カ,ト
ガタガタ,ガタガタ,カ,タ
ガタ落ち,ガタオチ,カ,チ
ガチガチ,ガチガチ,カ,チ
ガチャガチャ,ガチャガチャ,カ,ヤ
ガチョウ,ガチョウ,カ,ウ
ガッシュ,ガッシュ,カ,ユ
ガッツ,ガッツ,カ,ツ
ガッツポーズ,ガッツポーズ,カ,ス
ガドリニウム,ガドリニウム,カ,ム
ガニ,ガニ,カ,ニ
ガバディ,ガバディ,カ,イ
ガホウ,ガホウ,カ,ウ
ガボット,ガボット,カ,ト
ガマ,ガマ,カ,マ
ガマン,ガマン,カ,ン
ガム,ガム,カ,ム
ガムラン,ガムラン,カ,ン
ガモ,ガモ,カ,モ
ガラ・コンサート,ガラコンサート,カ,ト
ガラガラ,ガラガラ,カ,ラ
ガラガラヘビ,ガラガラヘビ,カ,ヒ
ガラス,ガラス,カ,ス
ガラスケース,ガラスケース,カ,ス
ガラス張り,ガラスバリ,カ,リ
ガラス瓶,ガラスビン,カ,ン
ガリウム,ガリウム,カ,ム
ガリ版,ガリバン,カ,ン
ガリ勉,ガリベン,カ,ン
ガルソン,ガルソン,カ,ン
ガレージ,ガレージ,カ,シ
ガレキ,ガレキ,カ,キ
ガロップ,ガロップ,カ,フ
ガロン,ガロン,カ,ン
ガロン,ガロン,カ,ン
ガン,ガン,カ,ン
ガンピ,ガンピ,カ,ヒ
ガンピシ,ガンピシ,カ,シ
ガンマー,ガンマー,カ,マ
ガンマ線,ガンマセン,カ,ン
ガンライコウ,ガンライコウ,カ,ウ
キー,キー,キ,キ
キーストン,キーストン,キ,ン
キータッチ,キータッチ,キ,チ
キーツーフロッピ,キーツーフロッピ,キ,ヒ
キーノート,キーノート,キ,ト
キーパースン,キーパースン,キ,ン
キーパラメタ,キーパラメタ,キ,タ
キーパンチャー,キーパンチャー,キ,ヤ
キープ,キープ,キ,フ
キーホルダー,キーホルダー,キ,タ
キーボード,キーボード,キ,ト
キーポイント,キーポイント,キ,ト
キーマン,キーマン,キ,ン
キール,キール,キ,ル
キーワード,キーワード,キ,ト
キーワードテーブル,キーワードテーブル,キ,ル
キじるし,キジルシ,キ,シ
キイチゴ,キイチゴ,キ,コ
キキョウ,キキョウ,キ,ウ
キク,キク,キ,ク
キクイタダキ,キクイタダキ,キ,キ
キクイモ,キクイモ,キ,モ
キクナ,キクナ,キ,ナ
キクラゲ,キクラゲ,キ,ケ
キケン,キケン,キ,ン
キコウ,キコウ,キ,ウ
キコリ,キコリ,キ,リ
キコン,キコン,キ,ン
キサゴ,キサゴ,キ,コ
キササゲ,キササゲ,キ,ケ
キシャゴ,キシャゴ,キ,コ
キジ,キジ,キ,シ
キジバト,キジバト,キ,ト
キス,キス,キ,ス
キスマーク,キスマーク,キ,ク
キズ,キズ,キ,ス
キセノン,キセノン,キ,ン
キセル,キセル,キ,ル
キタキツネ,キタキツネ,キ,ネ
キチン,キチン,キ,ン
キッカー,キッカー,キ,カ
キック,キック,キ,ク
キックオフ,キックオフ,キ,フ
キックボクシング,キックボクシング,キ,ク
キッス,キッス,キ,ス
キッチュ,キッチュ,キ,ユ
キッチン,キッチン,キ,ン
キット,キット,キ,ト
キッド,キッド,キ,ト
キップ,キップ,キ,フ
キツツキ,キツツキ,キ,キ
キツネ,キツネ,キ,ネ
キヅタ,キヅタ,キ,タ
キナ,キナ,キ,ナ
キニーネ,キニーネ,キ,ネ
キネズミ,キネズミ,キ,ミ
キネマ,キネマ,キ,マ
キノコ,キノコ,キ,コ
キハダ,キハダ,キ,タ
キビ,キビ,キ,ヒ
キビタキ,キビタキ,キ,キ
キホウ,キホウ,キ,ウ
キミ,キミ,キ,ミ
キムチ,キムチ,キ,チ
キメ手,キメテ,キ,テ
キャスター,キャスター,キ,タ
キャスチングボート,キャスチングボート,キ,ト
キャスティング,キャスティング,キ,ク
キャスト,キャスト,キ,ト
キャセイ,キャセイ,キ,イ
キャタストロフィー,キャタストロフィー,キ,イ
キャタピラ,キャタピラ,キ,ラ
キャタピラー,キャタピラー,キ,ラ
キャッシュ,キャッシュ,キ,ユ
キャッシュカード,キャッシュカード,キ,ト
キャッシュディスペンサ,キャッシュディスペンサ,キ,サ
キャッシュメモリ,キャッシュメモリ,キ,リ
キャッチ,キャッチ,キ,チ
キャッチフレーズ,キャッチフレーズ,キ,ス
キャッチボール,キャッチボール,キ,ル
キャッチャー,キャッチャー,キ,ヤ
キャッチャーボート,キャッチャーボート,キ,ト
キャップ,キャップ,キ,フ
キャデー,キャデー,キ,テ
キャディー,キャディー,キ,イ
キャニオン,キャニオン,キ,ン
キャバレー,キャバレー,キ,レ
キャビア,キャビア,キ,ア
キャビネ,キャビネ,キ,ネ
キャビネット,キャビネット,キ,ト
キャビン,キャビン,キ,ン
キャピタル,キャピタル,キ,ル
キャプション,キャプション,キ,ン
キャプスタン,キャプスタン,キ,ン
キャプテン,キャプテン,キ,ン
キャベツ,キャベツ,キ,ツ
キャラクタ,キャラクタ,キ,タ
キャラクター,キャラクター,キ,タ
キャラクタジェネレータ,キャラクタジェネレータ,キ,タ
キャラクタセット,キャラクタセット,キ,ト
キャラクタディスプレイ,キャラクタディスプレイ,キ,イ
キャラクトロン,キャラクトロン,キ,ン
キャラクトロン管,キャラクトロンカン,キ,ン
キャラコ,キャラコ,キ,コ
キャラバン,キャラバン,キ,ン
キャラボク,キャラボク,キ,ク
キャラメル,キャラメル,キ,ル
キャリーバッグ,キャリーバッグ,キ,ク
キャリア,キャリア,キ,ア
キャリア・ウーマン,キャリアウーマン,キ,ン
キャリアー,キャリアー,キ,ア
キャリアウーマン,キャリアウーマン,キ,ン
キャンセル,キャンセル,キ,ル
キャンデー,キャンデー,キ,テ
キャンデーバー,キャンデーバー,キ,ハ
キャンディ,キャンディ,キ,イ
キャンディー,キャンディー,キ,イ
キャンドル,キャンドル,キ,ル
キャンバス,キャンバス,キ,ス
キャンパス,キャンパス,キ,ス
キャンプ,キャンプ,キ,フ
キャンプファイア,キャンプファイア,キ,ア
キャンペーン,キャンペーン,キ,ン
キュー,キュー,キ,ユ
キューイング,キューイング,キ,ク
キューイングファイル,キューイングファイル,キ,ル
キュート,キュート,キ,ト
キュービズム,キュービズム,キ,ム
キューピー,キューピー,キ,ヒ
キューピッド,キューピッド,キ,ト
キューブ,キューブ,キ,フ
キューポラ,キューポラ,キ,ラ
キュウカンチョウ,キュウカンチョウ,キ,ウ
キュウコン,キュウコン,キ,ン
キュウリ,キュウリ,キ,リ
キュラソー,キュラソー,キ,ソ
キュリー,キュリー,キ,リ
キュリー,キュリー,キ,リ
キュリウム,キュリウム,キ,ム
キュロット,キュロット,キ,ト
キュロットスカート,キュロットスカート,キ,ト
キョーミ,キョーミ,キ,ミ
キョウガノコ,キョウガノコ,キ,コ
キョウチクトウ,キョウチクトウ,キ,ウ
キョウナ,キョウナ,キ,ナ
キョウニン,キョウニン,キ,ン
キョウボク,キョウボク,キ,ク
キョウリュウ,キョウリュウ,キ,ウ
キョロキョロ,キョロキョロ,キ,ロ
キラー,キラー,キ,ラ
キリ,キリ,キ,リ
キリキリ舞い,キリキリマイ,キ,イ
キリギリス,キリギリス,キ,ス
キリシタン,キリシタン,キ,ン
キリスト教,キリストキョウ,キ,ウ
キリスト教徒,キリストキョウト,キ,ト
キリン,キリン,キ,ン
キルク,キルク,キ,ク
キルティング,キルティング,キ,ク
キルト,キルト,キ,ト
キレ,キレ,キ,レ
キレイ,キレイ,キ,イ
キロ,キロ,キ,ロ
キロ,キロ,キ,ロ
キロカロリー,キロカロリー,キ,リ
キログラム,キログラム,キ,ム
キロトン,キロトン,キ,ン
キロバイト,キロバイト,キ,ト
キロヘルツ,キロヘルツ,キ,ツ
キロメートル,キロメートル,キ,ル
キロリットル,キロリットル,キ,ル
キロワット,キロワット,キ,ト
キロワット時,キロワットジ,キ,シ
キロ当たり,キロアタリ,キ,リ
キワタ,キワタ,キ,タ
キワダ,キワダ,キ,タ
キン,キン,キ,ン
キンカ,キンカ,キ,カ
キンカン,キンカン,キ,ン
キンギョ,キンギョ,キ,ヨ
キング,キング,キ,ク
キングコング,キングコング,キ,ク
キングサイズ,キングサイズ,キ,ス
キンケイ,キンケイ,キ,イ
キンコ,キンコ,キ,コ
キンセンカ,キンセンカ,キ,カ
キンバエ,キンバエ,キ,エ
キンピラ,キンピラ,キ,ラ
キンポウゲ,キンポウゲ,キ,ケ
キンモクセイ,キンモクセイ,キ,イ
キンルイ,キンルイ,キ,イ
キン類,キンルイ,キ,イ
キ印,キジルシ,キ,シ
ギア,ギア,キ,ア
ギガ,ギガ,キ,カ
ギガ,ギガ,キ,カ
ギガバイト,ギガバイト,キ,ト
ギクシャク,ギクシャク,キ,ク
ギザ,ギザ,キ,サ
ギザギザ,ギザギザ,キ,サ
ギシギシ,ギシギシ,キ,シ
ギター,ギター,キ,タ
ギタリスト,ギタリスト,キ,ト
ギニョール,ギニョール,キ,ル
ギフト,ギフト,キ,ト
ギフトチェック,ギフトチェック,キ,ク
ギブ・アンド・テーク,ギブアンドテーク,キ,ク
ギブアップ,ギブアップ,キ,フ
ギブアンドテーク,ギブアンドテーク,キ,ク
ギブアンドテイク,ギブアンドテイク,キ,ク
ギブス,ギブス,キ,ス
ギプス,ギプス,キ,ス
ギボシ,ギボシ,キ,シ
ギャグ,ギャグ,キ,ク
ギャザー,ギャザー,キ,サ
ギャップ,ギャップ,キ,フ
ギャバジン,ギャバジン,キ,ン
ギャラ,ギャラ,キ,ラ
ギャラリー,ギャラリー,キ,リ
ギャル,ギャル,キ,ル
ギャロップ,ギャロップ,キ,フ
ギャング,ギャング,キ,ク
ギャンブル,ギャンブル,キ,ル
ギヤ,ギヤ,キ,ヤ
ギヤマン,ギヤマン,キ,ン
ギュウギュウ,ギュウギュウ,キ,ウ
ギョーザ,ギョーザ,キ,サ
ギョウギョウシ,ギョウギョウシ,キ,シ
ギョウザ,ギョウザ,キ,サ
ギョリュウ,ギョリュウ,キ,ウ
ギリギリ,ギリギリ,キ,リ
ギルダー,ギルダー,キ,タ
ギルダー,ギルダー,キ,タ
ギルド,ギルド,キ,ト
ギロチン,ギロチン,キ,ン
ギンガム,ギンガム,キ,ム
ギンギン,ギンギン,キ,ン
ギンナン,ギンナン,キ,ン
ギンポ,ギンポ,キ,ホ
ク,ク,ク,ク
クーデター,クーデター,ク,タ
クーポン,クーポン,ク,ン
クーラ,クーラ,ク,ラ
クーラー,クーラー,ク,ラ
クール,クール,ク,ル
クーロン,クーロン,ク,ン
クァルテット,クァルテット,ク,ト
クィック,クィック,ク,ク
クィックソート,クィックソート,ク,ト
クイーン,クイーン,ク,ン
クイズ,クイズ,ク,ス
クイナ,クイナ,ク,ナ
クイン,クイン,ク,ン
クインテット,クインテット,ク,ト
クェスチョン,クェスチョン,ク,ン
クェッション,クェッション,ク,ン
クエーカー,クエーカー,ク,カ
クエスチョンマーク,クエスチョンマーク,ク,ク
クエスト,クエスト,ク,ト
クォーテーション,クォーテーション,ク,ン
クォート,クォート,ク,ト
クオーター,クオーター,ク,タ
クオータリー,クオータリー,ク,リ
クギ,クギ,ク,キ
クグイ,クグイ,ク,イ
クコ,クコ,ク,コ
クサカゲロウ,クサカゲロウ,ク,ウ
クサガメ,クサガメ,ク,メ
クサヒバリ,クサヒバリ,ク,リ
クサビ,クサビ,ク,ヒ
クサボケ,クサボケ,ク,ケ
クシ,クシ,ク,シ
クシャクシャ,クシャクシャ,ク,ヤ
クシャミ,クシャミ,ク,ミ
クジャク,クジャク,ク,ク
クジャクセキ,クジャクセキ,ク,キ
クジラ,クジラ,ク,ラ
クス,クス,ク,ス
クスノキ,クスノキ,ク,キ
クズ,クズ,ク,ス
クズ米,クズゴメ,ク,メ
クセ,クセ,ク,セ
クソバエ,クソバエ,ク,エ
クソムシ,クソムシ,ク,シ
クタクタ,クタクタ,ク,タ
クチナシ,クチナシ,ク,シ
クッキー,クッキー,ク,キ
クッキング,クッキング,ク,ク
クック,クック,ク,ク
クッククック,クッククック,ク,ク
クックブック,クックブック,ク,ク
クッション,クッション,ク,ン
クツワムシ,クツワムシ,ク,シ
クニ,クニ,ク,ニ
クヌギ,クヌギ,ク,キ
クネンボ,クネンボ,ク,ホ
クビ,クビ,ク,ヒ
クマ,クマ,ク,マ
クマどり,クマドリ,ク,リ
クマザサ,クマザサ,ク,サ
クマタカ,クマタカ,ク,カ
クマバチ,クマバチ,ク,チ
クマンバチ,クマンバチ,ク,チ
クモ,クモ,ク,モ
クモの巣,クモノス,ク,ス
クモザル,クモザル,ク,ル
クヨクヨ,クヨクヨ,ク,ヨ
クライマックス,クライマックス,ク,ス
クライミング,クライミング,ク,ク
クラウン,クラウン,ク,ン
クラクション,クラクション,ク,ン
クラゲ,クラゲ,ク,ケ
クラシカル,クラシカル,ク,ル
クラシック,クラシック,ク,ク
クラシック,クラシック,ク,ク
クラシックス,クラシックス,ク,ス
クラス,クラス,ク,ス
クラス,クラス,ク,ス
クラスタ,クラスタ,ク,タ
クラスタリング,クラスタリング,ク,ク
クラスメート,クラスメート,ク,ト
クラッカー,クラッカー,ク,カ
クラッシュ,クラッシュ,ク,ユ
クラッチ,クラッチ,ク,チ
クラトフスキー,クラトフスキー,ク,キ
クラトフスキーグラフ,クラトフスキーグラフ,ク,フ
クラフト,クラフト,ク,ト
クラブ,クラブ,ク,フ
クラブサン,クラブサン,ク,ン
クラブハウス,クラブハウス,ク,ス
クラリオン,クラリオン,ク,ン
クラリネット,クラリネット,ク,ト
クランク,クランク,ク,ク
クランクイン,クランクイン,ク,ン
クランチ,クランチ,ク,チ
クリ,クリ,ク,リ
クリーク,クリーク,ク,ク
クリーナー,クリーナー,ク,ナ
クリーニング,クリーニング,ク,ク
クリーネ,クリーネ,ク,ネ
クリーマー,クリーマー,ク,マ
クリーム,クリーム,ク,ム
クリームチーズ,クリームチーズ,ク,ス
クリーン,クリーン,ク,ン
クリーン,クリーン,ク,ン
クリーンアップ,クリーンアップ,ク,フ
クリア,クリア,ク,ア
クリエイティブ,クリエイティブ,ク,フ
クリオ製剤,クリオセイザイ,ク,イ
クリスタル,クリスタル,ク,ル
クリスタルグラス,クリスタルグラス,ク,ス
クリスチャン,クリスチャン,ク,ン
クリスチャンネーム,クリスチャンネーム,ク,ム
クリスマス,クリスマス,ク,ス
クリスマスイブ,クリスマスイブ,ク,フ
クリスマスカード,クリスマスカード,ク,ト
クリスマスカロル,クリスマスカロル,ク,ル
クリスマスツリー,クリスマスツリー,ク,リ
クリック,クリック,ク,ク
クリップ,クリップ,ク,フ
クリティカル,クリティカル,ク,ル
クリティカルセクション,クリティカルセクション,ク,ン
クリニック,クリニック,ク,ク
クリプトン,クリプトン,ク,ン
クルー,クルー,ク,ル
クルーズ,クルーズ,ク,ス
クルス,クルス,ク,ス
クルップ,クルップ,ク,フ
クルマ,クルマ,ク,マ
クルマエビ,クルマエビ,ク,ヒ
クルミ,クルミ,ク,ミ
クレー,クレー,ク,レ
クレーター,クレーター,ク,タ
クレート,クレート,ク,ト
クレートコントローラ,クレートコントローラ,ク,ラ
クレープ,クレープ,ク,フ
クレーム,クレーム,ク,ム
クレーン,クレーン,ク,ン
クレオソート,クレオソート,ク,ト
クレオン,クレオン,ク,ン
クレジット,クレジット,ク,ト
クレジットカード,クレジットカード,ク,ト
クレゾール,クレゾール,ク,ル
クレタケ,クレタケ,ク,ケ
クレッシェンド,クレッシェンド,ク,ト
クレナイ,クレナイ,ク,イ
クレバス,クレバス,ク,ス
クレパス,クレパス,ク,ス
クレヨン,クレヨン,ク,ン
クレンザー,クレンザー,ク,サ
クレンジングクリーム,クレンジングクリーム,ク,ム
クロ,クロ,ク,ロ
クローカス,クローカス,ク,ス
クローク,クローク,ク,ク
クロース,クロース,ク,ス
クローズ,クローズ,ク,ス
クローズアップ,クローズアップ,ク,フ
クローズド,クローズド,ク,ト
クローズドショップ,クローズドショップ,ク,フ
クローナ,クローナ,ク,ナ
クローネ,クローネ,ク,ネ
クローバー,クローバー,ク,ハ
クローフォード,クローフォード,ク,ト
クローム,クローム,ク,ム
クロール,クロール,ク,ル
クロールカルキ,クロールカルキ,ク,キ
クロウ,クロウ,ク,ウ
クロウエ,クロウエ,ク,エ
クロカビ,クロカビ,ク,ヒ
クロガキ,クロガキ,ク,キ
クロキ,クロキ,ク,キ
クロクマ,クロクマ,ク,マ
クロス,クロス,ク,ス
クロスオーバー,クロスオーバー,ク,ハ
クロスカントリー,クロスカントリー,ク,リ
クロスゲーム,クロスゲーム,ク,ム
クロスコンパイラ,クロスコンパイラ,ク,ラ
クロスソフトウエア,クロスソフトウエア,ク,ア
クロスバー,クロスバー,ク,ハ
クロスフット,クロスフット,ク,ト
クロスワード,クロスワード,ク,ト
クロダイ,クロダイ,ク,イ
クロチク,クロチク,ク,ク
クロッカス,クロッカス,ク,ス
クロッキー,クロッキー,ク,キ
クロック,クロック,ク,ク
クロックトラック,クロックトラック,ク,ク
クロックパルス,クロックパルス,ク,ス
クロテン,クロテン,ク,ン
クロノメーター,クロノメーター,ク,タ
クロマグロ,クロマグロ,ク,ロ
クロマツ,クロマツ,ク,ツ
クロマトグラフ,クロマトグラフ,ク,フ
クロマメ,クロマメ,ク,メ
クロミック,クロミック,ク,ク
クロム,クロム,ク,ム
クロモジ,クロモジ,ク,シ
クロユリ,クロユリ,ク,リ
クロルピクリン,クロルピクリン,ク,ン
クロレラ,クロレラ,ク,ラ
クロロフィル,クロロフィル,ク,ル
クロロホルム,クロロホルム,ク,ム
クロロマイセチン,クロロマイセチン,ク,ン
クワ,クワ,ク,ワ
クワイ,クワイ,ク,イ
クワイアタマ,クワイアタマ,ク,マ
クワガタ,クワガタ,ク,タ
クワガタムシ,クワガタムシ,ク,シ
クワゴ,クワゴ,ク,コ
クワス,クワス,ク,ス
クン,クン,ク,ン
クンシ,クンシ,ク,シ
クンシジン,クンシジン,ク,ン
クンシラン,クンシラン,ク,ン
グアノ,グアノ,ク,ノ
グスグズ,グスグズ,ク,ス
グチ,グチ,ク,チ
グチャグチャ,グチャグチャ,ク,ヤ
グッズ,グッズ,ク,ス
グッド,グッド,ク,ト
グビジンソウ,グビジンソウ,ク,ウ
グマ,グマ,ク,マ
グミ,グミ,ク,ミ
グライダー,グライダー,ク,タ
グライバッハ,グライバッハ,ク,ハ
グラインダー,グラインダー,ク,タ
グラウンド,グラウンド,ク,ト
グラジオラス,グラジオラス,ク,ス
グラス,グラス,ク,ス
グラスノスチ,グラスノスチ,ク,チ
グラタン,グラタン,ク,ン
グラビア,グラビア,ク,ア
グラフ,グラフ,ク,フ
グラフィカル,グラフィカル,ク,ル
グラフィクス,グラフィクス,ク,ス
グラフィック,グラフィック,ク,ク
グラフィックス,グラフィックス,ク,ス
グラフィックディスプレイ,グラフィックディスプレイ,ク,イ
グラフィックデザイナー,グラフィックデザイナー,ク,ナ
グラブ,グラブ,ク,フ
グラマー,グラマー,ク,マ
グラマー,グラマー,ク,マ
グラム,グラム,ク,ム
グランド,グランド,ク,ト
グランプ,グランプ,ク,フ
グランプリ,グランプリ,ク,リ
グリーン,グリーン,ク,ン
グリーン,グリーン,ク,ン
グリーンカード,グリーンカード,ク,ト
グリーンピース,グリーンピース,ク,ス
グリーンルーム,グリーンルーム,ク,ム
グリーン車,グリーンシャ,ク,ヤ
グリコーゲン,グリコーゲン,ク,ン
グリス,グリス,ク,ス
グリセリン,グリセリン,ク,ン
グリッド,グリッド,ク,ト
グリップ,グリップ,ク,フ
グリル,グリル,ク,ル
グリルガード,グリルガード,ク,ト
グリンピース,グリンピース,ク,ス
グループ,グループ,ク,フ
グループ,グループ,ク,フ
グループホーム,グループホーム,ク,ム
グループマーク,グループマーク,ク,ク
グルタミン,グルタミン,ク,ン
グルタミン酸,グルタミンサン,ク,ン
グルデン,グルデン,ク,ン
グルメ,グルメ,ク,メ
グレー,グレー,ク,レ
グレー,グレー,ク,レ
グレート,グレート,ク,ト
グレード,グレード,ク,ト
グレープ,グレープ,ク,フ
グレープフルーツ,グレープフルーツ,ク,ツ
グレーン,グレーン,ク,ン
グレイ,グレイ,ク,イ
グレイ,グレイ,ク,イ
グレイコード,グレイコード,ク,ト
グレイジング,グレイジング,ク,ク
グレコローマン,グレコローマン,ク,ン
グロ,グロ,ク,ロ
グローバリゼーション,グローバリゼーション,ク,ン
グローバル,グローバル,ク,ル
グローバル,グローバル,ク,ル
グローバルパートナーシップ,グローバルパートナーシップ,ク,フ
グローブ,グローブ,ク,フ
グロス,グロス,ク,ス
グロッキー,グロッキー,ク,キ
グロッシュ,グロッシュ,ク,ユ
グロテスク,グロテスク,ク,ク
ケ・セラ・セラ,ケセラセラ,ケ,ラ
ケーキ,ケーキ,ケ,キ
ケージ,ケージ,ケ,シ
ケース,ケース,ケ,ス
ケース,ケース,ケ,ス
ケースバイケース,ケースバイケース,ケ,ス
ケースワーカー,ケースワーカー,ケ,カ
ケーソン,ケーソン,ケ,ン
ケーブル,ケーブル,ケ,ル
ケーブルカー,ケーブルカー,ケ,カ
ケープ,ケープ,ケ,フ
ケープタウン,ケープタウン,ケ,ン
ケア,ケア,ケ,ア
ケイ,ケイ,ケ,イ
ケイス,ケイス,ケ,ス
ケイソウ,ケイソウ,ケ,ウ
ケイトウ,ケイトウ,ケ,ウ
ケイヒ,ケイヒ,ケ,ヒ
ケイ素,ケイソ,ケ,ソ
ケカビ,ケカビ,ケ,ヒ
ケガ,ケガ,ケ,カ
ケガニ,ケガニ,ケ,ニ
ケゴ,ケゴ,ケ,コ
ケシ,ケシ,ケ,シ
ケシゴム,ケシゴム,ケ,ム
ケジメ,ケジメ,ケ,メ
ケジラミ,ケジラミ,ケ,ミ
ケタ,ケタ,ケ,タ
ケタ,ケタ,ケ,タ
ケチ,ケチ,ケ,チ
ケチャップ,ケチャップ,ケ,フ
ケット,ケット,ケ,ト
ケバケバ,ケバケバ,ケ,ハ
ケプストラム,ケプストラム,ケ,ム
ケミカル,ケミカル,ケ,ル
ケムシ,ケムシ,ケ,シ
ケヤキ,ケヤキ,ケ,キ
ケラ,ケラ,ケ,ラ
ケラツツキ,ケラツツキ,ケ,キ
ケリ,ケリ,ケ,リ
ケルト民族,ケルトミンゾク,ケ,ク
ケルビン,ケルビン,ケ,ン
ケルビン温度,ケルビンオンド,ケ,ト
ケロイド,ケロイド,ケ,ト
ケンカ,ケンカ,ケ,カ
ケンギュウ,ケンギュウ,ケ,ウ
ケンギュウカ,ケンギュウカ,ケ,カ
ケンダール,ケンダール,ケ,ル
ケント紙,ケントシ,ケ,シ
ケ月,カゲツ,カ,ツ
ケ国,カコク,カ,ク
ケ所,カショ,カ,ヨ
ケ条,カジョウ,カ,ウ
ケ村,カソン,カ,ン
ケ年,カネン,カ,ン
ゲージ,ゲージ,ケ,シ
ゲート,ゲート,ケ,ト
ゲートボール,ゲートボール,ケ,ル
ゲートル,ゲートル,ケ,ル
ゲーム,ゲーム,ケ,ム
ゲームセット,ゲームセット,ケ,ト
ゲームセンター,ゲームセンター,ケ,タ
ゲイ,ゲイ,ケ,イ
ゲイマガカリ,ゲイマガカリ,ケ,リ
ゲキ,ゲキ,ケ,キ
ゲシュタルト,ゲシュタルト,ケ,ト
ゲジゲジ,ゲジゲジ,ケ,シ
ゲスト,ゲスト,ケ,ト
ゲストハウス,ゲストハウス,ケ,ス
ゲストルーム,ゲストルーム,ケ,ム
ゲゼルシャフト,ゲゼルシャフト,ケ,ト
ゲタ,ゲタ,ケ,タ
ゲッカ,ゲッカ,ケ,カ
ゲッカヒョウジン,ゲッカヒョウジン,ケ,ン
ゲッカビジン,ゲッカビジン,ケ,ン
ゲッケイ,ゲッケイ,ケ,イ
ゲッケイカン,ゲッケイカン,ケ,ン
ゲッケイジュ,ゲッケイジュ,ケ,ユ
ゲノム,ゲノム,ケ,ム
ゲバルト,ゲバルト,ケ,ト
ゲマインシャフト,ゲマインシャフト,ケ,ト
ゲラ,ゲラ,ケ,ラ
ゲラ刷り,ゲラズリ,ケ,リ
ゲリラ,ゲリラ,ケ,ラ
ゲル,ゲル,ケ,ル
ゲルトナー菌,ゲルトナーキン,ケ,ン
ゲルマニウム,ゲルマニウム,ケ,ム
ゲレンデ,ゲレンデ,ケ,テ
ゲン,ゲン,ケ,ン
ゲンゲ,ゲンゲ,ケ,ケ
ゲンコツ,ゲンコツ,ケ,ツ
ゲンゴロウ,ゲンゴロウ,ケ,ウ
ゲンゴロウブナ,ゲンゴロウブナ,ケ,ナ
ゲンジボタル,ゲンジボタル,ケ,ル
ゲンセイ,ゲンセイ,ケ,イ
ゲンセイドウブツ,ゲンセイドウブツ,ケ,ツ
ゲンチュウ,ゲンチュウ,ケ,ウ
ゲンノショウコ,ゲンノショウコ,ケ,コ
コークス,コークス,コ,ス
コース,コース,コ,ス
コース,コース,コ,ス
コースアウト,コースアウト,コ,ト
コースウェア,コースウェア,コ,ア
コースター,コースター,コ,タ
コースレコード,コースレコード,コ,ト
コーダ,コーダ,コ,タ
コーチ,コーチ,コ,チ
コーチゾン,コーチゾン,コ,ン
コーチャー,コーチャー,コ,ヤ
コーチン,コーチン,コ,ン
コーティング,コーティング,コ,ク
コーディネーション,コーディネーション,コ,ン
コーディネータ,コーディネータ,コ,タ
コーディネーター,コーディネーター,コ,タ
コーディネート,コーディネート,コ,ト
コーディング,コーディング,コ,ク
コーデュロイ,コーデュロイ,コ,イ
コート,コート,コ,ト
コード,コード,コ,ト
コードコンバータ,コードコンバータ,コ,タ
コードセット,コードセット,コ,ト
コードネーム,コードネーム,コ,ム
コードバン,コードバン,コ,ン
コードレス,コードレス,コ,ス
コーナ,コーナ,コ,ナ
コーナー,コーナー,コ,ナ
コーナーキック,コーナーキック,コ,ク
コーパス,コーパス,コ,ス
コーヒー,コーヒー,コ,ヒ
コーヒーポット,コーヒーポット,コ,ト
コーポ,コーポ,コ,ホ
